Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,366,0,0,0,0,0,45.625,0,45.625,695.775,0,938.705,497.153,0,15.402,35.516,0.000,14.675,7.508,590.019,704.518,172.023,590.390,39.151
Track_1,1,275,0,0,0,0,0,34.250,0,34.250,527.974,1,1037.436,512.255,0,15.615,37.989,0.000,16.121,7.220,659.981,748.329,258.568,667.658,37.944
Track_2,2,344,0,0,0,0,0,42.875,0,42.875,564.154,2,1004.170,533.692,0,13.273,50.976,0.000,12.841,6.733,316.188,549.090,216.669,313.716,38.427
Track_3,3,695,0,0,0,0,0,86.750,0,86.750,1072.891,3,549.171,580.498,0,12.557,55.020,0.000,13.562,12.250,417.939,569.987,351.896,413.549,31.944
Track_4,4,332,0,0,0,0,0,41.375,0,41.375,537.637,4,1025.755,632.400,0,13.182,34.565,0.085,13.196,7.242,347.465,419.645,277.487,349.974,39.094
Track_5,5,2394,2,5,0,0,0,299.875,0,299.875,0.006,5,47.847,371.518,0,0.332,21.730,0.002,0.191,0.734,225.999,286.471,150.256,224.978,8.040
Track_6,6,2400,0,0,0,0,0,299.875,0,299.875,0.025,6,1130.874,371.237,0,0.362,25.477,0.014,0.286,0.597,217.484,265.737,191.265,216.696,5.102
Track_7,7,276,0,0,0,0,0,34.375,0,34.375,354.940,7,1127.700,407.974,0,10.474,42.181,0.000,10.606,5.564,337.139,499.691,204.863,331.784,43.317
Track_8,8,101,0,0,0,0,0,12.500,0,12.500,99.368,8,847.533,439.980,0,8.359,29.546,0.442,7.782,5.842,205.111,252.945,166.461,213.931,21.348
Track_9,9,199,0,0,0,0,0,24.750,0,24.750,312.772,9,1142.954,476.174,0,12.908,38.194,0.000,12.914,6.518,464.842,621.306,391.693,465.380,29.143
Track_10,10,315,0,0,0,0,0,39.250,0,39.250,554.569,10,1021.318,496.094,0,14.245,40.675,0.244,13.997,6.761,590.012,681.558,501.635,593.426,39.262
Track_11,11,231,0,0,0,0,0,28.750,0,28.750,381.777,11,1101.388,781.800,0,13.543,35.166,0.000,13.251,7.548,430.513,637.967,236.919,428.857,29.951
Track_12,12,831,0,0,0,0,0,103.750,0,103.750,1311.395,12,634.646,790.040,0,12.711,40.308,0.000,12.654,5.285,416.142,719.454,289.135,414.871,40.521
Track_13,13,391,0,0,0,0,0,48.750,0,48.750,768.302,13,896.124,828.549,0,15.948,50.394,0.000,15.614,7.720,491.138,655.621,280.532,491.913,27.177
Track_14,14,2400,0,0,0,0,0,299.875,0,299.875,0.028,14,725.893,837.809,0,0.237,24.204,0.007,0.146,0.648,282.019,341.785,171.322,280.432,9.064
Track_15,15,2395,1,5,0,0,0,299.875,0,299.875,0.025,15,41.272,879.612,0,0.405,30.057,0.012,0.255,0.956,267.121,350.645,161.494,264.038,10.634
Track_16,16,329,0,0,0,0,0,41.000,0,41.000,594.386,16,990.054,643.732,0,14.697,42.754,0.740,14.430,7.228,267.476,404.488,176.541,271.443,36.208
Track_17,17,2400,0,0,0,0,0,299.875,0,299.875,0.049,17,453.212,659.447,0,0.441,31.074,0.010,0.308,0.777,307.606,372.736,289.683,306.118,9.534
Track_18,18,2400,0,0,0,0,0,299.875,0,299.875,0.063,18,8.009,661.926,0,0.692,104.061,0.000,0.399,2.375,393.206,464.748,340.824,390.079,17.038
Track_19,19,564,0,0,0,0,0,70.375,0,70.375,2.500,19,168.938,693.143,0,0.581,6.686,0.008,0.375,0.722,186.721,233.172,153.002,185.394,8.143
Track_20,20,130,0,0,0,0,0,16.125,0,16.125,152.391,20,1235.062,745.526,0,9.898,44.855,0.000,9.010,6.629,409.770,608.798,313.131,425.079,48.402
Track_21,21,421,0,0,0,0,0,52.500,0,52.500,376.302,21,1036.257,753.660,0,7.391,41.680,0.003,1.402,9.226,380.884,555.715,344.461,377.232,14.864
Track_22,22,340,0,0,0,0,0,42.375,0,42.375,603.527,22,974.352,760.353,0,14.457,43.783,0.189,13.602,7.660,434.783,655.993,189.118,442.195,50.957
Track_23,23,396,0,0,0,0,0,49.375,0,49.375,620.457,23,978.089,777.712,0,12.706,57.916,0.202,12.299,6.715,299.400,488.837,214.878,298.764,36.673
Track_24,24,2400,0,0,0,0,0,299.875,0,299.875,0.005,24,1031.154,309.374,0,0.228,23.050,8.314E-4,0.158,0.554,337.728,370.789,287.438,337.897,4.909
Track_25,25,635,0,0,0,0,0,79.250,0,79.250,1166.427,25,653.922,316.798,0,14.909,56.539,0.011,14.757,7.256,288.218,405.419,221.492,280.301,39.183
Track_26,26,518,0,0,0,0,0,64.625,0,64.625,1017.704,26,744.402,332.578,0,15.907,46.309,0.244,15.651,7.547,399.966,526.738,249.479,408.267,64.453
Track_27,27,2381,4,5,0,0,0,299.875,0,299.875,0.049,27,421.364,340.892,0,0.301,22.663,0.008,0.199,0.685,160.544,220.530,150.238,158.381,6.528
Track_28,28,2147,0,0,0,0,0,268.250,0,268.250,812.733,28,869.306,366.312,0,3.166,32.215,0.001,0.104,6.181,280.439,333.909,183.653,292.714,26.425
Track_32,32,220,0,0,0,0,0,27.375,14,41.375,396.110,32,1131.693,442.395,0,14.485,58.184,0.000,13.770,6.215,204.559,247.548,150.015,209.367,20.905
Track_33,33,621,0,0,0,0,0,77.500,14.875,92.375,1330.581,33,632.493,393.040,0,17.196,53.329,0.000,17.213,5.806,330.187,698.529,235.069,327.815,35.691
Track_43,43,513,0,0,0,0,0,64.000,26.250,90.250,1330.550,43,639.377,858.442,0,20.814,50.211,0.000,20.509,6.950,549.052,795.064,485.886,544.557,32.240
Track_45,45,520,0,0,0,0,0,64.875,27.125,92.000,1330.560,45,633.754,699.853,0,20.531,44.881,0.000,19.861,6.901,341.157,520.643,238.986,334.306,46.281
Track_46,46,109,5,5,0,0,0,15.500,28.625,44.125,405.570,46,174.064,347.233,0,25.872,51.919,5.200,22.731,14.343,198.926,340.314,150.672,200.694,26.915
Track_49,49,23,0,0,0,0,0,2.750,30.125,32.875,6.826,49,1296.038,395.781,0,4.210,8.135,1.579,4.642,1.809,163.399,171.715,152.360,163.692,6.139
Track_50,50,16,0,0,0,0,0,1.875,29.500,31.375,18.055,50,914.084,402.730,0,9.636,15.449,4.938,8.470,3.500,194.533,237.283,151.247,194.188,27.259
