Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_1,1,2400,0,0,0,0,0,299.875,0,299.875,4.931,1,434.966,344.602,0,0.112,3.597,0.003,0.068,0.217,349.179,410.529,281.278,350.744,42.516
Track_2,2,2400,0,0,0,0,0,299.875,0,299.875,4.916,2,1039.111,478.620,0,0.298,4.543,0.006,0.242,0.287,168.614,181.910,138.543,168.345,3.697
Track_3,3,2400,0,0,0,0,0,299.875,0,299.875,4.417,3,441.928,873.630,0,0.315,5.029,0.006,0.220,0.366,276.768,289.513,245.770,276.472,2.883
Track_4,4,2400,0,0,0,0,0,299.875,0,299.875,3.815,4,415.300,498.981,0,0.115,3.633,9.569E-4,0.063,0.233,523.712,549.357,478.610,524.306,12.457
Track_5,5,2400,0,0,0,0,0,299.875,0,299.875,4.564,5,108.187,523.166,0,0.092,3.504,8.888E-4,0.060,0.190,409.704,438.351,389.169,409.834,9.955
Track_6,6,2400,0,0,0,0,0,299.875,0,299.875,5.091,6,972.600,533.598,0,0.104,3.330,0.001,0.069,0.196,559.534,581.724,504.117,557.510,11.413
Track_7,7,2400,0,0,0,0,0,299.875,0,299.875,3.983,7,63.203,570.594,0,0.294,43.180,0.005,0.153,1.308,239.748,273.508,206.664,239.531,4.041
Track_8,8,218,0,0,0,0,0,27.125,0,27.125,1051.096,8,782.968,601.392,0,38.854,81.199,2.419,35.951,11.930,317.341,406.127,228.105,317.722,41.361
Track_9,9,2400,0,0,0,0,0,299.875,0,299.875,4.034,9,585.645,652.352,0,0.084,5.079,9.411E-4,0.050,0.236,484.391,535.947,458.793,485.248,17.163
Track_10,10,2400,0,0,0,0,0,299.875,0,299.875,4.393,10,307.025,687.859,0,0.135,16.397,3.150E-4,0.069,0.514,264.348,326.687,205.500,262.107,29.345
Track_11,11,2400,0,0,0,0,0,299.875,0,299.875,3.409,11,533.762,721.658,0,0.116,3.825,0.002,0.076,0.209,244.696,293.771,217.431,248.107,11.963
Track_12,12,342,0,0,0,0,0,42.625,0,42.625,1281.321,12,709.586,744.937,0,30.094,60.240,5.200,30.026,5.787,189.796,301.084,110.444,190.432,25.490
