Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,2398,1,2,0,0,0,299.875,0.000,299.875,1033.798,0,959.120,917.941,0,3.653,36.982,0.006,0.314,6.807,260.174,368.305,119.461,267.864,48.161
Track_1,1,2381,2,13,0,0,0,299.875,0.000,299.875,2.667,1,238.882,879.818,0,0.470,6.403,0.005,0.374,0.478,159.140,218.850,133.373,158.677,6.548
Track_2,2,2400,0,0,0,0,0,299.875,0.000,299.875,2.452,2,232.566,885.505,0,0.351,4.462,0.012,0.268,0.369,186.529,268.787,154.317,185.086,10.873
Track_3,3,2358,0,0,0,0,0,294.625,0.000,294.625,175.522,3,1187.300,854.998,0,0.932,30.420,0.000,0.384,2.632,244.402,505.003,158.525,240.143,45.191
Track_4,4,19,0,0,0,0,0,2.250,0.000,2.250,30.984,4,1243.720,876.420,0,13.787,25.981,8.163,12.997,4.932,215.875,288.813,119.627,225.477,49.378
Track_5,5,337,0,0,0,0,0,42.000,0.000,42.000,634.603,5,1018.208,794.249,0,15.159,48.718,1.142,14.648,6.855,265.297,464.594,198.380,266.180,28.771
Track_6,6,151,0,0,0,0,0,18.750,0.000,18.750,223.172,6,1219.126,803.835,0,12.007,40.645,1.720,10.511,6.346,382.672,583.930,312.115,381.496,44.358
Track_7,7,2400,0,0,0,0,0,299.875,0.000,299.875,2.673,7,208.184,730.333,0,0.286,20.086,0.002,0.198,0.657,234.728,301.567,193.493,234.314,5.120
Track_8,8,2400,0,0,0,0,0,299.875,0.000,299.875,2.813,8,1292.940,748.212,0,0.130,13.262,8.516E-4,0.076,0.494,419.978,448.292,345.917,420.056,3.447
Track_9,9,367,0,0,0,0,0,45.750,0.000,45.750,685.421,9,1000.234,565.133,0,15.034,37.083,0.000,14.940,7.204,362.426,534.284,123.787,367.844,52.194
Track_10,10,123,0,0,0,0,0,15.250,0.000,15.250,236.404,10,1212.053,586.701,0,15.566,40.977,1.918,12.580,8.894,455.568,606.060,358.225,467.836,46.117
Track_11,11,2400,0,0,0,0,0,299.875,0.000,299.875,3.262,11,273.655,706.051,0,0.390,3.907,0.006,0.298,0.378,294.568,364.070,277.267,294.919,6.807
Track_12,12,506,19,11,0,0,0,70.625,0.000,70.625,1.095,12,261.152,337.824,0,0.200,2.992,0.005,0.171,0.185,112.820,137.211,110.010,111.960,2.875
Track_13,13,294,1,1,0,0,0,36.750,0.000,36.750,593.344,13,732.851,533.379,0,16.214,39.040,1.723,15.483,7.778,145.140,209.039,110.138,144.717,20.005
Track_14,14,1051,0,0,0,0,0,131.250,0.000,131.250,28.917,14,1307.161,550.824,0,0.488,52.762,0.004,0.204,2.043,341.746,561.501,175.558,343.443,29.463
Track_15,15,2400,0,0,0,0,0,299.875,0.000,299.875,2.803,15,141.744,270.068,0,0.302,5.105,0.006,0.213,0.376,178.129,236.291,158.065,177.755,8.982
Track_16,16,178,0,0,0,0,0,22.125,0.000,22.125,335.499,16,1157.621,273.577,0,15.251,57.264,0.000,14.741,7.442,215.323,302.278,136.360,216.341,23.173
Track_17,17,16,0,0,0,0,0,1.875,0.000,1.875,37.538,17,1315.210,289.555,0,20.372,44.430,0.000,21.444,11.736,557.146,651.269,272.951,562.131,85.232
Track_18,18,2022,4,8,0,0,0,254.500,0.500,255.000,1.536,18,782.016,214.077,0,1.489,11.097,0.016,1.261,1.143,126.980,147.033,110.041,124.552,7.677
Track_19,19,2396,0,0,0,0,0,299.375,0.500,299.875,2.811,19,1269.758,782.744,0,0.427,51.918,0.001,0.189,1.736,274.247,318.644,129.737,274.789,10.474
Track_20,20,1186,0,0,0,0,0,148.125,0.750,148.875,27.180,20,1256.205,767.230,0,0.478,47.085,0.004,0.206,2.810,238.006,282.736,124.800,238.534,8.216
Track_21,21,2392,0,0,0,0,0,298.875,0.875,299.750,8.669,21,917.713,928.530,0,0.380,21.909,0.006,0.240,0.977,244.231,285.578,149.279,244.014,4.117
Track_22,22,1120,0,0,0,0,0,139.875,1.750,141.625,9.133,22,1271.044,937.243,0,0.488,14.951,0.013,0.330,0.986,203.576,248.311,154.024,203.383,3.488
Track_23,23,2295,77,4,0,0,0,297.875,1.750,299.625,2.590,23,1258.101,920.304,0,0.584,13.983,0.009,0.455,0.692,189.305,232.355,182.487,189.077,2.709
Track_24,24,387,112,17,0,0,0,111.375,2.000,113.375,1.442,24,382.621,331.213,0,0.275,1.252,0.005,0.246,0.203,142.094,143.831,140.627,142.114,0.607
Track_25,25,46,1,1,0,0,0,5.750,3.125,8.875,64.529,25,1305.634,877.046,0,11.348,34.283,0.000,8.184,7.957,196.773,458.435,110.675,193.752,69.208
Track_28,28,61,1,4,0,0,0,8.000,9.000,17.000,100.572,28,43.479,857.733,0,12.863,29.739,0.000,12.440,7.744,193.954,405.943,110.135,165.686,83.383
Track_32,32,15,0,0,0,0,0,1.750,18.125,19.875,33.517,32,130.922,857.230,0,19.159,23.130,13.821,20.375,3.096,154.174,186.315,111.841,165.111,26.652
Track_36,36,662,1,4,0,0,0,83.125,19.625,102.750,1330.551,36,656.853,263.397,0,16.095,61.217,0.000,15.280,7.567,263.834,451.710,118.092,259.947,65.524
Track_37,37,15,0,0,0,0,0,1.750,20.500,22.250,27.432,37,173.281,856.316,0,15.686,18.220,12.674,15.851,1.723,155.124,174.857,114.716,163.070,19.944
Track_41,41,26,0,0,0,0,0,3.125,24.125,27.250,25.207,41,219.249,853.783,0,8.081,12.281,5.972,7.771,1.706,160.301,181.392,112.160,172.170,20.887
Track_42,42,624,0,0,0,0,0,77.875,25.500,103.375,1281.276,42,617.470,743.831,0,16.495,40.017,0.000,16.091,6.972,228.777,371.217,133.027,227.411,21.598
Track_44,44,16,0,0,0,0,0,1.875,28.500,30.375,28.613,44,262.002,854.444,0,15.268,17.780,13.195,14.730,1.465,182.118,222.721,125.460,186.699,29.788
Track_47,47,601,0,0,0,0,0,75.000,30.250,105.250,1330.551,47,637.331,478.384,0,17.833,58.802,0.272,17.966,7.240,211.399,291.300,127.985,209.672,26.357
Track_48,48,29,0,0,0,0,0,3.500,31.125,34.625,27.650,48,299.528,856.590,0,7.927,18.680,0.620,6.822,5.777,171.510,211.693,112.838,173.658,24.329
Track_49,49,23,0,0,0,0,0,2.750,31.250,34.000,5.992,49,155.145,248.917,0,2.568,6.934,0.611,2.065,1.756,124.146,126.152,122.395,124.058,1.119
Track_50,50,14,1,1,0,0,0,1.750,31.500,33.250,4.535,50,172.920,257.157,0,3.062,5.900,1.797,2.583,1.211,113.712,116.423,110.004,113.602,1.834
Track_51,51,14,1,1,0,0,0,1.750,31.375,33.125,3.038,51,287.301,603.710,0,3.332,6.450,0.516,3.098,1.785,111.502,113.622,110.253,111.609,0.813
Track_53,53,17,0,0,0,0,0,2.000,35.500,37.500,33.590,53,344.999,857.348,0,16.817,23.712,13.816,16.242,2.745,182.443,218.737,118.455,199.663,32.465
Track_54,54,97,0,0,0,0,0,12.000,37.250,49.250,213.309,54,1131.184,530.905,0,17.882,37.629,3.895,16.906,6.659,159.685,233.802,119.177,155.545,22.305
Track_55,55,49,1,1,0,0,0,6.125,38.000,44.125,79.782,55,415.463,858.032,0,12.932,21.616,2.616,14.383,4.502,174.758,218.452,111.783,182.029,28.989
Track_62,62,6,1,14,0,0,0,2.375,41.875,44.250,8.336,62,99.466,748.822,0,7.143,12.515,2.389,8.277,4.403,137.356,145.897,127.322,141.182,7.284
